ISO 3166-1 country code, name, latitude, longitude
MX,Almoloya,19.369146,-99.758363
MX,Ixtapan,19.586587,-98.94723
MX,Tecamac,19.712764,-98.969502
MX,Atenco,19.55077,-98.916491
MX,Huaquilpan,19.987649,-98.868742
MX,Tecalco,19.673328,-98.958545
MX,San Nicolás,19.580427,-98.435998
MX,Ometusco,19.783868,-98.669097
MX,Actipan,19.61065,-98.596703
MX,San Martín,19.704969,-98.834551
MX,San Marcos,19.598156,-98.629078
MX,Teotihuacán,19.688592,-98.862634
MX,Ixtilmaco,19.666112,-98.448594
MX,Teacalco,19.804533,-98.8513
MX,San Jerónimo,19.747771,-98.951348
MX,Zacacalco,19.931358,-98.982722
MX,Cuautliquixco,19.681792,-98.981941
MX,San Bartolomé,19.561965,-98.585614
MX,Albarranes,19.117571,-99.935858
MX,Acahualco,19.27554,-99.771655
MX,San Antonio,19.527853,-98.357556
MX,Oztoyuca,19.928798,-98.669354
MX,Ometusco,19.778592,-98.628966
MX,San Agustín,19.874621,-98.714055
MX,Otumba,19.699892,-98.756855
MX,Los Reyes,19.774904,-98.984751
MX,Cárdenas,19.6397,-98.471711
MX,Yerbabuena,21.279229,-99.106462
MX,Acolman,19.639067,-98.910275
MX,Santa Rosa,20.742057,-100.446153
MX,Purísima,21.311371,-99.512063
MX,Puerto,21.36918,-99.571122
MX,Puerta,21.329694,-99.522696
MX,Atotonilco,19.464033,-99.778224
MX,Oxtotilpan,19.168688,-99.902836
MX,Tabernillas,19.481091,-99.867736
MX,Nativitas,19.348129,-99.791396
MX,Santa María,19.290202,-99.824983
MX,Cuauhtenco,19.249642,-99.729882
MX,Zinacantepec,19.285006,-99.734775
MX,Oxtotilpan,19.149526,-99.885599
MX,Almoloyan,19.356011,-99.799672
MX,Contadero,19.236886,-99.80971
MX,San Juan,19.248198,-99.75819
MX,San Jerónimo,19.314939,-100.20288
MX,Tlalcilalcalpan,19.29353,-99.767325
MX,Altamirano,19.381102,-99.973516
MX,San Pedro,21.751288,-99.057414
MX,Soledad,21.279842,-100.922604
MX,San Nicolás,21.274727,-100.550953
MX,San Joaquín,21.736557,-100.238988
MX,Coatipac,19.18188,-99.568327
MX,Milpillas,21.346355,-100.244379
MX,Mesa,21.503223,-100.440714
MX,La Noria,21.453674,-100.84506
MX,Labor,20.488762,-101.253055
MX,Tlapacoya,20.101931,-98.833841
MX,Santiago,20.384032,-98.964798
MX,Tlatemalco,20.499881,-98.702526
MX,San Nicolás,20.095644,-98.390616
MX,San Juan,20.049592,-98.666108
MX,Tlaxiaca,20.116045,-98.88562
MX,Omitlán,20.169025,-98.649418
MX,Huasca,20.203468,-98.576112
MX,Colonia,20.064132,-98.75903
MX,Atotonilco,20.286526,-98.667357
MX,Agua Blanca,20.350011,-98.357092
